HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
Nancy,Auxerre,3,1,H,2,0,H,13,8,3,1,7,20,9,3,3,2,0,0
Paris SG,Lens,0,0,D,0,0,D,17,10,4,0,12,26,3,2,1,2,0,0
Sochaux,Marseille,1,2,A,1,1,D,13,14,2,7,14,23,5,7,0,2,0,0
St Etienne,Lyon,1,4,A,1,2,A,17,9,7,6,16,19,6,6,2,3,0,0
Lille,Toulouse,2,0,H,1,0,H,14,3,9,0,15,21,4,1,0,2,0,0
Rennes,Nice,2,0,H,0,0,D,12,6,5,4,14,19,1,2,1,1,0,0
Valenciennes,Brest,3,0,H,2,0,H,10,9,6,4,14,18,5,4,1,2,0,0
Lyon,Nancy,4,0,H,1,0,H,22,5,8,2,18,12,6,1,1,2,0,0
Auxerre,Arles,1,1,D,0,0,D,17,12,6,3,14,17,7,3,2,5,0,0
Brest,Monaco,2,0,H,1,0,H,12,16,5,5,15,18,4,2,2,0,0,1
Caen,Valenciennes,2,2,D,0,0,D,16,9,3,4,21,7,7,3,3,2,0,0
Lens,Sochaux,2,3,A,1,2,A,16,11,8,5,12,16,9,3,3,2,1,1
Lorient,Bordeaux,5,1,H,3,1,H,13,11,8,3,10,19,7,7,4,3,1,1
Marseille,St Etienne,2,1,H,0,0,D,22,7,8,2,19,21,10,3,2,4,0,0
Montpellier,Lille,1,0,H,0,0,D,10,6,3,1,18,24,3,1,2,1,0,0
Nice,Paris SG,0,3,A,0,2,A,13,19,2,11,11,15,2,8,1,1,1,0
Toulouse,Rennes,1,2,A,0,1,A,13,10,3,6,18,13,8,3,1,1,0,0
Arles,Brest,1,1,D,1,0,H,17,12,5,6,16,20,6,9,2,2,0,0
Bordeaux,Auxerre,3,0,H,1,0,H,11,4,6,0,15,16,5,4,4,4,0,0
Monaco,Caen,2,2,D,1,0,H,17,10,3,4,12,24,8,4,1,3,0,1
Rennes,Lens,2,0,H,1,0,H,13,7,6,2,16,12,3,4,1,2,0,0
Sochaux,Montpellier,0,0,D,0,0,D,9,19,4,6,13,19,2,9,1,3,1,1
St Etienne,Nice,0,2,A,0,0,D,5,11,0,6,18,6,7,3,1,1,0,0
Valenciennes,Lorient,0,0,D,0,0,D,15,8,5,3,14,10,5,4,3,0,0,1
Lille,Lyon,1,1,D,1,1,D,12,8,3,5,11,22,9,3,1,3,0,0
Nancy,Marseille,1,2,A,1,1,D,9,16,5,8,17,22,3,5,3,3,0,0
Paris SG,Toulouse,2,1,H,2,0,H,14,13,4,3,13,17,5,2,1,1,0,0
Auxerre,Paris SG,1,0,H,0,0,D,12,16,5,3,11,6,4,8,2,0,0,0
Caen,St Etienne,1,0,H,0,0,D,10,9,3,2,18,13,5,3,1,0,0,0
Lorient,Nancy,0,0,D,0,0,D,9,16,3,5,12,16,10,7,1,1,0,0
Montpellier,Rennes,0,1,A,0,1,A,14,10,3,4,15,28,4,1,1,2,0,0
Nice,Lens,0,0,D,0,0,D,13,10,3,5,18,16,2,4,1,2,0,0
Toulouse,Sochaux,0,1,A,0,0,D,14,9,6,2,20,16,5,3,0,0,1,0
Valenciennes,Monaco,0,0,D,0,0,D,17,12,7,1,20,14,9,5,0,1,0,0
Brest,Bordeaux,1,3,A,0,0,D,13,8,5,4,20,20,9,3,0,1,0,0
Lyon,Arles,5,0,H,2,0,H,15,6,8,0,9,11,11,4,0,0,0,0
Marseille,Lille,1,2,A,0,1,A,15,13,3,3,16,16,4,5,2,1,0,0
Rennes,Marseille,0,2,A,0,1,A,14,11,4,5,18,12,4,4,2,2,0,0
Arles,Lorient,3,3,D,1,2,A,16,9,7,5,19,5,6,3,1,1,0,0
Lens,Toulouse,0,1,A,0,0,D,9,13,4,5,19,29,4,1,0,1,0,0
Nancy,Caen,2,0,H,1,0,H,11,4,4,1,18,26,4,5,1,0,0,1
Nice,Auxerre,1,0,H,0,0,D,14,10,3,1,10,10,2,5,0,1,0,0
Sochaux,Lyon,0,2,A,0,1,A,7,21,2,9,15,15,5,2,1,2,0,0
St Etienne,Brest,2,0,H,1,0,H,14,10,7,2,14,13,5,2,1,3,0,0
Bordeaux,Monaco,0,1,A,0,1,A,14,2,4,1,10,18,3,2,0,3,0,0
Lille,Valenciennes,2,1,H,1,0,H,13,9,4,4,10,16,4,0,2,2,0,0
Paris SG,Montpellier,2,2,D,2,0,H,11,11,3,5,26,17,7,2,4,3,0,1
Auxerre,Sochaux,2,0,H,1,0,H,13,19,5,3,16,10,4,7,1,1,0,0
Brest,Lille,1,2,A,1,1,D,20,7,9,4,14,16,10,4,1,3,0,0
Lorient,St Etienne,0,0,D,0,0,D,18,7,6,4,6,10,10,6,0,0,0,0
Lyon,Rennes,1,1,D,1,0,H,17,3,4,1,12,13,6,3,2,3,0,1
Montpellier,Lens,1,4,A,0,3,A,16,15,8,6,23,14,13,2,1,0,0,0
Toulouse,Nice,1,1,D,1,0,H,10,10,3,3,18,7,5,6,2,1,0,0
Valenciennes,Bordeaux,2,2,D,1,0,H,11,15,3,5,17,13,2,3,2,1,0,0
Caen,Arles,2,0,H,0,0,D,19,10,5,3,14,27,9,4,2,3,0,0
Marseille,Paris SG,2,1,H,2,1,H,12,8,3,1,15,17,1,2,1,3,0,0
Monaco,Nancy,0,1,A,0,1,A,19,10,5,3,18,24,12,2,3,3,0,0
Arles,Monaco,0,2,A,0,1,A,10,16,2,8,16,15,2,3,1,2,1,0
Lille,Caen,3,1,H,1,0,H,28,13,12,5,12,17,8,3,1,2,0,0
Nancy,Bordeaux,0,0,D,0,0,D,10,14,3,7,24,16,0,2,2,4,0,0
Paris SG,Lorient,0,0,D,0,0,D,9,9,2,1,12,9,9,8,1,1,0,0
Rennes,Auxerre,0,0,D,0,0,D,8,4,0,2,13,11,2,3,3,3,0,0
Sochaux,Brest,2,1,H,1,0,H,15,12,7,4,14,21,9,4,2,1,0,0
Toulouse,Montpellier,0,1,A,0,0,D,8,8,2,2,21,19,4,1,2,2,0,0
Lens,Marseille,0,1,A,0,0,D,14,9,3,3,19,22,7,4,3,1,0,0
Nice,Lyon,2,2,D,0,2,A,14,11,6,4,16,16,4,0,3,1,0,1
St Etienne,Valenciennes,1,1,D,0,0,D,22,14,6,6,6,12,8,8,0,0,0,0
Auxerre,St Etienne,2,2,D,1,1,D,16,12,5,8,9,7,5,5,2,3,0,0
